시도교육청,교육지원청,지역,정보공시학교코드,학교명,학교급코드,설립구분,주야간,제외여부,제외사유,1학년학급수,1학년학생수,1학년학급당학생수,2학년학급수,2학년학생수,2학년학급당학생수,3학년학급수,3학년학생수,3학년학급당학생수,특수학급학급수,특수학급학생수,특수학급학급당학생수,순회학급학급수,순회학급학생수,순회학급학급당학생수,학급수계,학생수계,학급당학생수계,교사수계,수업교원1인당학생수,학교급,담당자,학교특성,특성화고 구분,특성화고 담당자
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090008033,중앙기독고등학교,4,사립,주간,N,,3,59,19.7,0,0,0,0,0,0,0,0,0,0,0,0,3,59,19.7,6,9.8,고등,송훈재,특성화고등학교,특성화고등학교,송훈재
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090005521,중앙기독중학교,3,사립,주간,N,,3,82,27.3,3,84,28,3,84,28,1,18,18,0,0,0,10,268,26.8,19,14.1,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090000815,청명고등학교,4,공립,주간,N,,12,297,24.8,12,316,26.3,12,339,28.3,2,15,7.5,0,0,0,38,967,25.4,73,13.2,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090002440,청명중학교,3,공립,주간,N,,7,198,28.3,7,215,30.7,5,153,30.6,1,2,2,0,0,0,20,568,28.4,36,15.8,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090000824,태장고등학교,4,공립,주간,N,,12,298,24.8,12,323,26.9,12,348,29,2,15,7.5,0,0,0,38,984,25.9,75,13.1,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090002441,태장중학교,3,공립,주간,N,,7,204,29.1,7,209,29.9,7,206,29.4,2,7,3.5,0,0,0,23,626,27.2,41,15.3,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090000873,효원고등학교,4,공립,주간,N,,13,323,24.8,13,342,26.3,13,366,28.2,0,0,0,0,0,0,39,1031,26.4,75,13.7,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090000447,경기과학고등학교,4,공립,주간,N,,8,126,15.8,8,122,15.3,8,127,15.9,0,0,0,0,0,0,24,375,15.6,76,4.9,고등,송훈재,특수목적고등학교,,송훈재
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090000449,경기체육고등학교,4,공립,주간,N,,3,79,26.3,3,78,26,3,75,25,0,0,0,0,0,0,9,232,25.8,30,7.7,고등,송훈재,특수목적고등학교,,송훈재
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090006576,경기체육중학교,3,공립,주간,N,,1,28,28,1,25,25,1,25,25,0,0,0,0,0,0,3,78,26,11,7.1,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090000527,대평고등학교,4,공립,주간,N,,10,238,23.8,10,261,26.1,10,280,28,1,7,7,0,0,0,31,786,25.4,64,12.3,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090002411,대평중학교,3,공립,주간,N,,12,379,31.6,12,383,31.9,13,395,30.4,1,8,8,0,0,0,38,1165,30.7,70,16.6,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090000543,동원동우고등학교,4,사립,주간,N,,16,389,24.3,10,253,25.3,11,274,24.9,0,0,0,0,0,0,37,916,24.8,71,12.9,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090002417,명인중학교,3,공립,주간,N,,10,317,31.7,10,316,31.6,10,290,29,1,8,8,1,4,4,32,935,29.2,57,16.4,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090002418,송원중학교,3,공립,주간,N,,5,137,27.4,5,135,27,4,101,25.3,0,0,0,0,0,0,14,373,26.6,27,13.8,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090000641,수성고등학교,4,공립,주간,N,,12,285,23.8,12,312,26,12,312,26,0,0,0,0,0,0,36,909,25.3,73,12.5,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090002422,수성중학교,3,공립,주간,N,,5,149,29.8,4,119,29.8,5,136,27.2,0,0,0,0,0,0,14,404,28.9,26,15.5,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090000648,수원농생명과학고등학교,4,공립,주간,N,,10,222,22.2,10,204,20.4,10,196,19.6,3,21,7,0,0,0,33,643,19.5,81,7.9,고등,송훈재,특성화고등학교,특성화고등학교,송훈재
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090002423,수원북중학교,3,공립,주간,N,,3,72,24,3,72,24,3,73,24.3,3,14,4.7,0,0,0,12,231,19.3,25,9.2,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090000654,수일고등학교,4,공립,주간,N,,10,255,25.5,11,280,25.5,11,288,26.2,0,0,0,0,0,0,32,823,25.7,61,13.5,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090002426,수일여자중학교,3,공립,주간,N,,5,145,29,4,94,23.5,4,117,29.3,0,0,0,0,0,0,13,356,27.4,23,15.5,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090002427,수일중학교,3,공립,주간,N,,2,53,26.5,2,42,21,3,62,20.7,0,0,0,0,0,0,7,157,22.4,15,10.5,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090000732,영생고등학교,4,사립,주간,N,,11,263,23.9,11,294,26.7,11,304,27.6,0,0,0,0,0,0,33,861,26.1,65,13.2,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090002436,율전중학교,3,공립,주간,N,,3,74,24.7,4,98,24.5,4,97,24.3,1,4,4,0,0,0,12,273,22.8,20,13.7,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090002438,이목중학교,3,공립,주간,N,,9,284,31.6,9,280,31.1,9,280,31.1,1,5,5,0,0,0,28,849,30.3,49,17.3,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090000779,장안고등학교,4,공립,주간,N,,10,245,24.5,10,276,27.6,10,280,28,2,15,7.5,0,0,0,32,816,25.5,61,13.4,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090004896,조원고등학교,4,공립,주간,N,,10,240,24,10,277,27.7,10,275,27.5,2,12,6,0,0,0,32,804,25.1,62,13,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090005172,조원중학교,3,공립,주간,N,,8,232,29,8,233,29.1,8,227,28.4,3,16,5.3,0,0,0,27,708,26.2,46,15.4,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090002421,창용중학교,3,공립,주간,N,,1,22,22,1,19,19,1,17,17,1,8,8,0,0,0,4,66,16.5,13,5.1,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090004895,천천고등학교,4,공립,주간,N,,10,241,24.1,10,265,26.5,10,278,27.8,2,10,5,1,3,3,33,797,24.2,62,12.9,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시장안구,S090002439,천천중학교,3,공립,주간,N,,10,320,32,10,321,32.1,12,357,29.8,0,0,0,0,0,0,32,998,31.2,56,17.8,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시팔달구,S090002412,동성중학교,3,공립,주간,N,,7,203,29,6,160,26.7,6,172,28.7,0,0,0,0,0,0,19,535,28.2,34,15.7,중등,송훈재,,,
